,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
72,72,72,216,Graph with 7 nodes and 15 edges,Graph with 7 nodes and 15 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(2.0, [(0, 3), (1, 2), (2, 1), (3, 0), (4, 5), (5, 4), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(2.0, [(0, 3), (1, 2), (2, 1), (3, 0), (4, 5), (5, 4), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(8.0, [(0, 2), (1, 4), (2, 5), (3, 6), (4, 0), (5, 3), (6, 1)])","(40.0, [(0, 18446744073709551614), (1, 1), (2, 4), (3, 18446744073709551614), (4, 2), (5, 3), (6, 0), (18446744073709551614, 5), (18446744073709551614, 6)])","(4.0, [(0, 5), (1, 3), (2, 2), (3, 0), (4, 1), (5, 6), (6, 4)])","(4.0, [(0, 6), (1, 5), (2, 3), (3, 2), (4, 4), (5, 1), (6, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])",7
73,73,73,219,Graph with 8 nodes and 5 edges,Graph with 8 nodes and 5 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(6.0, [(0, 7), (1, 5), (2, 6), (3, 1), (4, 0), (5, 2), (6, 3), (7, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(26.0, [(0, 4), (1, 0), (2, 3), (3, 5), (4, 7), (5, 18446744073709551614), (6, 2), (7, 18446744073709551614), (18446744073709551614, 1), (18446744073709551614, 6)])","(0.0, [(0, 2), (1, 6), (2, 0), (3, 5), (4, 7), (5, 3), (6, 1), (7, 4)])","(2.0, [(0, 7), (1, 2), (2, 0), (3, 1), (4, 6), (5, 3), (6, 4), (7, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])",8
74,74,74,222,Graph with 8 nodes and 5 edges,Graph with 8 nodes and 6 edges,1.0,"(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(5.0, [(0, 2), (1, 7), (2, 3), (3, 0), (4, 4), (5, 6), (6, 5), (7, 1)])","(1.0, [(0, 3), (1, 5), (2, 1), (3, 2), (4, 0), (5, 6), (6, 7), (7, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(3.0, [(0, 6), (1, 2), (2, 0), (3, 1), (4, 4), (5, 7), (6, 5), (7, 3)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(3.0, [(0, 2), (1, 1), (2, 0), (3, 3), (4, 4), (5, 7), (6, 5), (7, 6)])","(1.0, [(0, 4), (1, 1), (2, 2), (3, 5), (4, 0), (5, 3), (6, 7), (7, 6)])","(1.0, [(0, 1), (1, 5), (2, 3), (3, 6), (4, 0), (5, 2), (6, 7), (7, 4)])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])",8
75,75,75,225,Graph with 8 nodes and 5 edges,Graph with 8 nodes and 19 edges,14.0,"(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(16.0, [(0, 4), (1, 2), (2, 5), (3, 7), (4, 0), (5, 1), (6, 3), (7, 6)])","(14.0, [(0, 2), (1, 4), (2, 1), (3, 3), (4, 5), (5, 7), (6, 0), (7, 6)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(14.0, [(0, 6), (1, 4), (2, 1), (3, 2), (4, 5), (5, 7), (6, 0), (7, 3)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 3), (1, 1), (2, 4), (3, 5), (4, 6), (5, 0), (6, 7), (7, 2)])","(14.0, [(0, 1), (1, 5), (2, 2), (3, 7), (4, 3), (5, 6), (6, 4), (7, 0)])","(14.0, [(0, 7), (1, 5), (2, 2), (3, 6), (4, 1), (5, 4), (6, 0), (7, 3)])","(14.0, [(0, 1), (1, 0), (2, 6), (3, 7), (4, 5), (5, 2), (6, 4), (7, 3)])","(inf, [])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])",8
76,76,76,228,Graph with 8 nodes and 5 edges,Graph with 8 nodes and 26 edges,21.0,"(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(21.0, [(0, 0), (1, 3), (2, 1), (3, 2), (4, 7), (5, 5), (6, 4), (7, 6)])","(21.0, [(0, 2), (1, 0), (2, 4), (3, 5), (4, 1), (5, 3), (6, 7), (7, 6)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(21.0, [(0, 6), (1, 2), (2, 5), (3, 7), (4, 0), (5, 3), (6, 1), (7, 4)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(25.0, [(0, 0), (1, 3), (2, 2), (3, 5), (4, 4), (5, 1), (6, 6), (7, 7)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(21.0, [(0, 4), (1, 0), (2, 1), (3, 7), (4, 5), (5, 2), (6, 3), (7, 6)])","(21.0, [(0, 2), (1, 5), (2, 0), (3, 6), (4, 1), (5, 7), (6, 4), (7, 3)])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(23.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])",8
77,77,77,231,Graph with 8 nodes and 6 edges,Graph with 8 nodes and 5 edges,1.0,"(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 5), (1, 7), (2, 0), (3, 3), (4, 4), (5, 6), (6, 2), (7, 1)])","(3.0, [(0, 4), (1, 0), (2, 1), (3, 7), (4, 2), (5, 5), (6, 3), (7, 6)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(3.0, [(0, 6), (1, 3), (2, 5), (3, 2), (4, 1), (5, 7), (6, 0), (7, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(9.0, [(0, 7), (1, 5), (2, 0), (3, 3), (4, 1), (5, 2), (6, 6), (7, 4)])","(9.0, [(0, 1), (1, 0), (2, 6), (3, 3), (4, 4), (5, 2), (6, 5), (7, 7)])","(3.0, [(0, 2), (1, 7), (2, 3), (3, 0), (4, 4), (5, 6), (6, 1), (7, 5)])","(3.0, [(0, 3), (1, 1), (2, 2), (3, 5), (4, 6), (5, 4), (6, 7), (7, 0)])","(1.0, [(0, 4), (1, 1), (2, 3), (3, 0), (4, 2), (5, 5), (6, 7), (7, 6)])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 5), (7, 7)])",8
78,78,78,234,Graph with 8 nodes and 6 edges,Graph with 8 nodes and 6 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 5), (2, 2), (3, 3), (4, 6), (5, 1), (6, 4), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(6.0, [(0, 4), (1, 6), (2, 2), (3, 5), (4, 0), (5, 7), (6, 3), (7, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(6.0, [(0, 1), (1, 0), (2, 5), (3, 4), (4, 6), (5, 2), (6, 7), (7, 3)])","(2.0, [(0, 6), (1, 7), (2, 5), (3, 4), (4, 2), (5, 3), (6, 0), (7, 1)])","(4.0, [(0, 2), (1, 5), (2, 0), (3, 3), (4, 6), (5, 1), (6, 4), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])",8
79,79,79,237,Graph with 8 nodes and 6 edges,Graph with 8 nodes and 19 edges,13.0,"(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(13.0, [(0, 3), (1, 6), (2, 4), (3, 5), (4, 0), (5, 1), (6, 2), (7, 7)])","(13.0, [(0, 7), (1, 4), (2, 5), (3, 3), (4, 2), (5, 0), (6, 6), (7, 1)])","(17.0, [(0, 0), (1, 1), (2, 6), (3, 7), (4, 4), (5, 2), (6, 5), (7, 3)])","(13.0, [(0, 1), (1, 4), (2, 3), (3, 2), (4, 0), (5, 6), (6, 5), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(15.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 7), (6, 0), (7, 6)])","(15.0, [(0, 0), (1, 3), (2, 5), (3, 1), (4, 2), (5, 6), (6, 7), (7, 4)])","(13.0, [(0, 2), (1, 1), (2, 6), (3, 7), (4, 3), (5, 5), (6, 0), (7, 4)])","(13.0, [(0, 1), (1, 3), (2, 6), (3, 2), (4, 0), (5, 4), (6, 5), (7, 7)])","(13.0, [(0, 5), (1, 0), (2, 7), (3, 1), (4, 3), (5, 2), (6, 6), (7, 4)])","(inf, [])","(17.0, [(0, 4), (1, 0), (2, 5), (3, 3), (4, 6), (5, 1), (6, 7), (7, 2)])",8
80,80,80,240,Graph with 8 nodes and 6 edges,Graph with 8 nodes and 26 edges,20.0,"(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(20.0, [(0, 1), (1, 5), (2, 0), (3, 2), (4, 6), (5, 7), (6, 3), (7, 4)])","(20.0, [(0, 1), (1, 4), (2, 6), (3, 3), (4, 5), (5, 0), (6, 7), (7, 2)])","(20.0, [(0, 4), (1, 0), (2, 5), (3, 3), (4, 6), (5, 1), (6, 7), (7, 2)])","(20.0, [(0, 1), (1, 2), (2, 3), (3, 6), (4, 7), (5, 4), (6, 0), (7, 5)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 5), (4, 3), (5, 4), (6, 6), (7, 7)])","(22.0, [(0, 7), (1, 4), (2, 2), (3, 5), (4, 1), (5, 3), (6, 6), (7, 0)])","(20.0, [(0, 0), (1, 2), (2, 3), (3, 5), (4, 7), (5, 1), (6, 4), (7, 6)])","(20.0, [(0, 4), (1, 3), (2, 1), (3, 5), (4, 2), (5, 7), (6, 6), (7, 0)])","(20.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(20.0, [(0, 4), (1, 0), (2, 5), (3, 3), (4, 6), (5, 1), (6, 7), (7, 2)])",8
81,81,81,243,Graph with 8 nodes and 19 edges,Graph with 8 nodes and 5 edges,14.0,"(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(16.0, [(0, 4), (1, 0), (2, 3), (3, 7), (4, 2), (5, 5), (6, 6), (7, 1)])","(14.0, [(0, 6), (1, 0), (2, 5), (3, 1), (4, 4), (5, 7), (6, 2), (7, 3)])","(18.0, [(0, 1), (1, 6), (2, 2), (3, 0), (4, 3), (5, 4), (6, 5), (7, 7)])","(14.0, [(0, 0), (1, 7), (2, 3), (3, 2), (4, 1), (5, 5), (6, 6), (7, 4)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(16.0, [(0, 1), (1, 0), (2, 5), (3, 2), (4, 7), (5, 4), (6, 6), (7, 3)])","(16.0, [(0, 0), (1, 2), (2, 3), (3, 1), (4, 5), (5, 7), (6, 6), (7, 4)])","(14.0, [(0, 0), (1, 1), (2, 4), (3, 2), (4, 7), (5, 3), (6, 6), (7, 5)])","(14.0, [(0, 5), (1, 7), (2, 6), (3, 3), (4, 1), (5, 2), (6, 4), (7, 0)])","(14.0, [(0, 5), (1, 7), (2, 4), (3, 3), (4, 1), (5, 2), (6, 6), (7, 0)])","(inf, [])","(18.0, [(0, 1), (1, 6), (2, 2), (3, 0), (4, 3), (5, 4), (6, 5), (7, 7)])",8
82,82,82,246,Graph with 8 nodes and 19 edges,Graph with 8 nodes and 6 edges,13.0,"(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(17.0, [(0, 4), (1, 7), (2, 5), (3, 0), (4, 3), (5, 2), (6, 1), (7, 6)])","(13.0, [(0, 3), (1, 2), (2, 5), (3, 7), (4, 4), (5, 0), (6, 6), (7, 1)])","(15.0, [(0, 7), (1, 1), (2, 5), (3, 0), (4, 4), (5, 6), (6, 2), (7, 3)])","(13.0, [(0, 5), (1, 2), (2, 4), (3, 1), (4, 7), (5, 6), (6, 0), (7, 3)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 2), (1, 7), (2, 0), (3, 4), (4, 1), (5, 5), (6, 3), (7, 6)])","(17.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(17.0, [(0, 2), (1, 0), (2, 4), (3, 6), (4, 3), (5, 1), (6, 7), (7, 5)])","(17.0, [(0, 1), (1, 2), (2, 3), (3, 7), (4, 4), (5, 6), (6, 0), (7, 5)])","(13.0, [(0, 7), (1, 5), (2, 0), (3, 6), (4, 2), (5, 1), (6, 4), (7, 3)])","(13.0, [(0, 4), (1, 6), (2, 0), (3, 3), (4, 5), (5, 2), (6, 7), (7, 1)])","(13.0, [(0, 2), (1, 0), (2, 3), (3, 5), (4, 7), (5, 4), (6, 6), (7, 1)])","(inf, [])","(17.0, [(0, 1), (1, 5), (2, 7), (3, 3), (4, 0), (5, 2), (6, 4), (7, 6)])",8
83,83,83,249,Graph with 8 nodes and 19 edges,Graph with 8 nodes and 19 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(2.0, [(0, 3), (1, 7), (2, 2), (3, 0), (4, 4), (5, 5), (6, 6), (7, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(2.0, [(0, 0), (1, 5), (2, 2), (3, 6), (4, 4), (5, 1), (6, 3), (7, 7)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(46.0, [(0, 5), (1, 1), (2, 2), (3, 18446744073709551614), (4, 18446744073709551614), (5, 7), (6, 0), (7, 3), (18446744073709551614, 4), (18446744073709551614, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(14.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 6), (5, 4), (6, 7), (7, 5)])","(12.0, [(0, 7), (1, 6), (2, 3), (3, 1), (4, 0), (5, 4), (6, 2), (7, 5)])","(6.0, [(0, 1), (1, 5), (2, 6), (3, 2), (4, 4), (5, 0), (6, 7), (7, 3)])","(4.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4), (5, 5), (6, 7), (7, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])",8
84,84,84,252,Graph with 8 nodes and 19 edges,Graph with 8 nodes and 26 edges,7.0,"(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(inf, [])","(inf, [])","(inf, [])","(11.0, [(0, 3), (1, 4), (2, 0), (3, 7), (4, 1), (5, 5), (6, 6), (7, 2)])","(7.0, [(0, 5), (1, 6), (2, 7), (3, 0), (4, 1), (5, 4), (6, 2), (7, 3)])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(9.0, [(0, 6), (1, 7), (2, 3), (3, 2), (4, 4), (5, 5), (6, 0), (7, 1)])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])","(47.0, [(0, 18446744073709551614), (1, 0), (2, 1), (3, 7), (4, 18446744073709551614), (5, 2), (6, 3), (7, 4), (18446744073709551614, 5), (18446744073709551614, 6)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)])","(9.0, [(0, 0), (1, 2), (2, 5), (3, 6), (4, 7), (5, 3), (6, 4), (7, 1)])","(7.0, [(0, 5), (1, 6), (2, 4), (3, 0), (4, 1), (5, 7), (6, 3), (7, 2)])","(7.0, [(0, 0), (1, 7), (2, 1), (3, 3), (4, 2), (5, 4), (6, 6), (7, 5)])","(7.0, [(0, 5), (1, 4), (2, 6), (3, 2), (4, 0), (5, 3), (6, 1), (7, 7)])","(inf, [])","(9.0, [(0, 3), (1, 4), (2, 6), (3, 7), (4, 0), (5, 1), (6, 2), (7, 5)])",8
